Distance_(mm),Gray_Value
0.0000,17.7097
0.0521,17.7258
0.1042,17.8226
0.1562,17.8387
0.2083,17.8710
0.2604,17.8548
0.3125,17.8871
0.3645,17.9194
0.4166,17.9839
0.4687,18.0806
0.5208,17.9516
0.5729,18.0161
0.6249,17.9516
0.6770,17.9516
0.7291,18.0323
0.7812,17.9677
0.8332,18.0968
0.8853,18.0645
0.9374,18.1452
0.9895,18.1452
1.0416,18.1774
1.0936,18.1129
1.1457,18.1452
1.1978,18.2097
1.2499,18.0806
1.3020,18.1129
1.3540,18.0968
1.4061,18.1452
1.4582,18.1613
1.5103,18.1452
1.5623,18.1452
1.6144,18.0968
1.6665,18.1452
1.7186,18.1613
1.7707,18.1290
1.8227,18.2419
1.8748,18.2581
1.9269,18.1935
1.9790,18.2742
2.0310,18.2581
2.0831,18.3065
2.1352,18.3226
2.1873,18.2581
2.2394,18.2581
2.2914,18.3226
2.3435,18.2258
2.3956,18.3387
2.4477,18.3065
2.4997,18.3871
2.5518,18.4194
2.6039,18.4677
2.6560,18.4516
2.7081,18.4516
2.7601,18.4839
2.8122,18.5323
2.8643,18.5000
2.9164,18.5645
2.9685,18.6290
3.0205,18.6129
3.0726,18.6774
3.1247,18.6452
3.1768,18.6452
3.2288,18.6613
3.2809,18.7258
3.3330,18.7742
3.3851,18.8710
3.4372,18.9032
3.4892,18.9677
3.5413,18.9194
3.5934,18.9677
3.6455,18.9839
3.6975,19.0323
3.7496,19.0323
3.8017,19.0484
3.8538,19.1613
3.9059,19.0968
3.9579,19.0968
4.0100,19.1613
4.0621,19.1613
4.1142,19.1613
4.1663,19.2419
4.2183,19.2258
4.2704,19.2903
4.3225,19.2742
4.3746,19.3871
4.4266,19.3710
4.4787,19.2903
4.5308,19.2903
4.5829,19.3065
4.6350,19.3387
4.6870,19.2419
4.7391,19.3065
4.7912,19.3548
4.8433,19.3871
4.8953,19.4194
4.9474,19.4355
4.9995,19.4032
5.0516,19.3387
5.1037,19.2903
5.1557,19.2903
5.2078,19.3387
5.2599,19.2903
5.3120,19.3226
5.3640,19.2742
5.4161,19.3065
5.4682,19.3226
5.5203,19.2742
5.5724,19.1935
5.6244,19.2742
5.6765,19.2097
5.7286,19.1613
5.7807,19.3226
5.8327,19.3548
5.8848,19.3871
5.9369,19.2258
5.9890,19.2258
6.0411,19.1452
6.0931,19.2097
6.1452,19.2581
6.1973,19.3226
6.2494,19.3710
6.3015,19.3387
6.3535,19.4516
6.4056,19.4355
6.4577,19.4516
6.5098,19.3226
6.5618,19.2581
6.6139,19.2742
6.6660,19.3065
6.7181,19.3065
6.7702,19.3387
6.8222,19.4032
6.8743,19.3871
6.9264,19.3387
6.9785,19.2419
7.0305,19.2419
7.0826,19.2742
7.1347,19.3065
7.1868,19.2581
7.2389,19.2903
7.2909,19.4032
7.3430,19.4194
7.3951,19.4194
7.4472,19.4194
7.4992,19.3710
7.5513,19.4516
7.6034,19.3548
7.6555,19.3387
7.7076,19.3548
7.7596,19.2258
7.8117,19.1290
7.8638,19.2581
7.9159,19.1774
7.9680,19.1452
8.0200,19.1129
8.0721,19.1774
8.1242,19.1290
8.1763,19.1935
8.2283,19.2419
8.2804,19.2258
8.3325,19.1774
8.3846,19.1613
8.4367,19.2097
8.4887,19.1290
8.5408,19.0806
8.5929,19.0161
8.6450,19.0000
8.6970,18.9516
8.7491,18.9677
8.8012,18.9355
8.8533,19.0484
8.9054,19.0323
8.9574,19.0484
9.0095,19.0000
9.0616,18.8710
9.1137,18.8226
9.1657,18.8871
9.2178,18.9355
9.2699,18.8871
9.3220,18.7742
9.3741,18.7742
9.4261,18.7097
9.4782,18.6935
9.5303,18.7581
9.5824,18.5806
9.6345,18.6129
9.6865,18.6613
9.7386,18.6129
9.7907,18.5968
9.8428,18.5806
9.8948,18.5968
9.9469,18.5161
9.9990,18.4355
10.0511,18.4839
10.1032,18.3548
10.1552,18.3387
10.2073,18.3387
10.2594,18.2742
10.3115,18.3871
10.3635,18.2742
10.4156,18.2258
10.4677,18.2097
10.5198,18.1774
10.5719,18.2097
10.6239,18.1290
10.6760,18.0806
10.7281,18.0000
10.7802,18.0484
10.8322,18.0000
10.8843,18.0161
10.9364,17.9677
10.9885,18.0806
11.0406,18.0000
11.0926,18.0161
11.1447,17.9355
11.1968,17.8548
11.2489,17.8871
11.3010,17.8710
11.3530,17.9032
11.4051,17.8710
11.4572,17.8226
11.5093,17.8226
11.5613,17.8065
11.6134,17.7258
11.6655,17.7581
11.7176,17.7903
11.7697,17.7581
11.8217,17.8065
11.8738,17.7742
11.9259,17.8226
11.9780,17.7258
12.0300,17.7742
12.0821,17.7903
12.1342,17.8065
12.1863,17.6935
12.2384,17.7742
12.2904,17.7258
12.3425,17.6935
12.3946,17.6774
12.4467,17.6774
12.4987,17.6452
12.5508,17.6129
12.6029,17.6613
12.6550,17.6452
12.7071,17.6452
12.7591,17.6290
12.8112,17.6452
12.8633,17.6290
12.9154,17.5645
12.9675,17.5806
13.0195,17.6129
13.0716,17.6452
13.1237,17.6452
13.1758,17.6129
13.2278,17.6935
13.2799,17.7097
13.3320,17.6613
13.3841,17.7258
13.4362,17.7419
13.4882,17.7258
13.5403,17.7903
13.5924,17.7581
