Distance_(mm),Gray_Value
0.00000,17.2941
0.00520,17.3137
0.01041,17.2745
0.01561,17.3137
0.02081,17.3333
0.02602,17.3333
0.03122,17.3725
0.03642,17.4706
0.04163,17.5490
0.04683,17.4706
0.05203,17.4902
0.05723,17.4118
0.06244,17.5098
0.06764,17.4902
0.07284,17.5294
0.07805,17.4902
0.08325,17.5882
0.08845,17.5882
0.09366,17.5686
0.09886,17.6667
0.10406,17.7059
0.10927,17.7059
0.11447,17.6863
0.11967,17.8235
0.12488,17.7647
0.13008,17.7451
0.13528,17.8039
0.14048,17.7647
0.14569,17.8039
0.15089,17.7647
0.15609,17.7843
0.16130,17.8431
0.16650,17.7843
0.17170,17.8431
0.17691,17.8235
0.18211,17.8235
0.18731,17.7647
0.19252,17.7059
0.19772,17.7255
0.20292,17.7059
0.20812,17.6471
0.21333,17.6863
0.21853,17.6471
0.22373,17.6078
0.22894,17.5882
0.23414,17.5882
0.23934,17.5490
0.24455,17.4902
0.24975,17.4902
0.25495,17.4510
0.26016,17.5098
0.26536,17.4314
0.27056,17.4510
0.27577,17.4118
0.28097,17.4314
0.28617,17.3922
0.29138,17.2941
0.29658,17.2549
0.30178,17.3137
0.30698,17.3333
0.31219,17.3529
0.31739,17.3529
0.32259,17.4706
0.32780,17.4510
0.33300,17.4902
0.33820,17.4902
0.34341,17.4902
0.34861,17.5294
0.35381,17.6078
0.35902,17.7255
0.36422,17.7647
0.36942,17.8824
0.37462,17.9020
0.37983,18.0196
0.38503,18.0980
0.39023,18.2157
0.39544,18.3137
0.40064,18.4314
0.40584,18.5294
0.41105,18.7647
0.41625,18.9020
0.42145,19.0392
0.42666,19.1569
0.43186,19.3137
0.43706,19.3137
0.44227,19.6078
0.44747,19.7647
0.45267,19.9608
0.45788,20.2157
0.46308,20.3922
0.46828,20.4314
0.47348,20.4706
0.47869,20.6275
0.48389,20.7059
0.48909,20.9608
0.49430,20.9412
0.49950,21.0588
0.50470,21.2549
0.50991,21.4118
0.51511,21.4118
0.52031,21.6471
0.52552,21.5882
0.53072,21.6863
0.53592,21.6863
0.54112,21.7451
0.54633,21.8235
0.55153,21.8235
0.55673,21.8627
0.56194,21.9216
0.56714,21.8824
0.57234,21.6471
0.57755,21.6667
0.58275,21.6275
0.58795,21.5882
0.59316,21.6275
0.59836,21.6275
0.60356,21.5098
0.60877,21.4706
0.61397,21.5098
0.61917,21.2549
0.62437,21.1176
0.62958,20.8627
0.63478,20.7647
0.63998,20.6667
0.64519,20.4902
0.65039,20.3333
0.65559,20.2157
0.66080,20.0196
0.66600,19.8431
0.67120,19.6471
0.67641,19.4118
0.68161,19.3137
0.68681,18.9412
0.69202,18.8431
0.69722,18.7255
0.70242,18.6471
0.70762,18.3922
0.71283,18.2549
0.71803,18.2549
0.72323,18.1176
0.72844,17.9412
0.73364,17.8627
0.73884,17.7843
0.74405,17.6667
0.74925,17.6275
0.75445,17.6275
0.75966,17.5686
0.76486,17.6471
0.77006,17.6078
0.77527,17.6471
0.78047,17.7843
0.78567,17.7843
0.79088,17.8824
0.79608,18.0392
0.80128,18.1373
0.80648,18.1961
0.81169,18.3529
0.81689,18.4706
0.82209,18.6667
0.82730,18.8627
0.83250,18.9412
0.83770,19.0196
0.84291,19.2549
0.84811,19.5098
0.85331,19.7059
0.85852,19.9020
0.86372,20.1176
0.86892,20.2745
0.87413,20.4902
0.87933,20.7843
0.88453,20.8824
0.88973,21.1569
0.89494,21.4314
0.90014,21.6667
0.90534,21.9412
0.91055,22.1765
0.91575,22.3922
0.92095,22.5490
0.92616,22.9020
0.93136,22.9216
0.93656,23.2157
0.94177,23.4706
0.94697,23.6863
0.95217,23.6078
0.95737,23.8235
0.96258,23.8431
0.96778,23.9020
0.97298,23.9020
0.97819,24.0588
0.98339,24.0000
0.98859,23.9608
0.99380,23.9020
0.99900,24.0000
1.00420,23.9216
1.00941,23.8235
1.01461,23.9020
1.01981,23.7843
1.02502,23.5490
1.03022,23.4902
1.03542,23.3725
1.04062,23.0980
1.04583,22.8824
1.05103,22.7255
