Distance_(mm),Gray_Value
0.00000,18.0078
0.00520,18.0703
0.01041,18.0703
0.01561,18.0000
0.02081,18.0391
0.02602,18.1250
0.03122,18.0938
0.03642,18.1328
0.04163,18.1719
0.04683,18.1641
0.05203,18.2344
0.05723,18.2969
0.06244,18.2656
0.06764,18.4609
0.07284,18.5234
0.07805,18.5625
0.08325,18.6562
0.08845,18.6797
0.09366,18.7578
0.09886,18.7891
0.10406,18.8828
0.10927,18.9766
0.11447,19.0703
0.11967,19.2734
0.12488,19.3438
0.13008,19.3438
0.13528,19.4062
0.14048,19.6094
0.14569,19.7734
0.15089,19.8203
0.15609,19.9062
0.16130,20.0234
0.16650,20.1094
0.17170,20.2812
0.17691,20.3750
0.18211,20.4062
0.18731,20.6875
0.19252,20.6875
0.19772,20.9375
0.20292,21.1016
0.20812,21.2109
0.21333,21.3672
0.21853,21.5781
0.22373,21.7812
0.22894,21.9844
0.23414,22.0703
0.23934,22.3750
0.24455,22.4297
0.24975,22.6094
0.25495,22.8359
0.26016,23.0938
0.26536,23.3125
0.27056,23.6250
0.27577,23.7266
0.28097,23.9609
0.28617,24.2109
0.29138,24.4375
0.29658,24.5547
0.30178,24.7656
0.30698,24.9844
0.31219,25.1484
0.31739,25.4531
0.32259,25.5938
0.32780,25.8125
0.33300,26.1094
0.33820,26.3125
0.34341,26.6406
0.34861,26.8047
0.35381,27.0078
0.35902,27.2969
0.36422,27.5938
0.36942,27.7969
0.37462,28.2188
0.37983,28.3438
0.38503,28.5938
0.39023,28.7578
0.39544,29.1172
0.40064,29.1562
0.40584,29.3984
0.41105,29.5781
0.41625,29.9141
0.42145,30.4219
0.42666,30.5625
0.43186,30.6641
0.43706,31.0156
0.44227,31.3359
0.44747,31.7031
0.45267,31.8594
0.45788,32.0625
0.46308,32.3750
0.46828,32.7422
0.47348,32.9062
0.47869,33.0781
0.48389,33.4141
0.48909,33.5078
0.49430,33.6484
0.49950,34.0938
0.50470,34.1562
0.50991,34.4922
0.51511,34.8516
0.52031,35.1641
0.52552,34.9141
0.53072,35.2969
0.53592,35.4375
0.54112,35.7656
0.54633,36.0078
0.55153,36.1875
0.55673,36.5312
0.56194,36.9297
0.56714,36.7656
0.57234,37.2109
0.57755,37.1484
0.58275,37.5234
0.58795,37.8203
0.59316,37.9062
0.59836,38.4609
0.60356,38.5234
0.60877,38.4844
0.61397,38.6016
0.61917,38.7344
0.62437,38.7656
0.62958,39.0703
0.63478,39.1172
0.63998,39.2500
0.64519,39.7109
0.65039,39.9141
0.65559,39.7500
0.66080,39.7109
0.66600,40.3984
0.67120,40.0938
0.67641,39.7500
0.68161,40.2422
0.68681,40.5312
0.69202,40.3125
0.69722,40.4219
0.70242,40.5234
0.70762,40.6562
0.71283,40.5469
0.71803,40.4531
0.72323,40.5781
0.72844,40.7266
0.73364,40.6250
0.73884,40.4219
0.74405,40.4219
0.74925,40.7109
0.75445,40.8516
0.75966,40.5938
0.76486,40.6562
0.77006,40.7500
0.77527,40.7500
0.78047,40.5703
0.78567,40.4844
0.79088,40.7422
0.79608,40.6953
0.80128,40.8516
0.80648,40.6484
0.81169,41.0469
0.81689,40.5078
0.82209,40.7188
0.82730,40.5391
0.83250,40.6484
0.83770,40.7188
0.84291,40.9688
0.84811,40.1484
0.85331,40.6797
0.85852,40.6328
0.86372,40.0938
0.86892,39.4766
0.87413,39.5156
0.87933,39.7578
0.88453,39.6016
0.88973,39.0625
0.89494,39.1484
0.90014,38.6328
0.90534,38.5781
0.91055,38.2422
0.91575,37.9375
0.92095,37.7656
0.92616,37.3984
0.93136,37.3750
0.93656,37.3438
0.94177,36.8984
0.94697,36.5312
0.95217,36.0547
0.95737,35.9609
0.96258,35.5312
0.96778,35.2109
0.97298,34.6406
0.97819,34.6328
0.98339,34.1562
0.98859,34.1250
0.99380,33.8672
0.99900,33.6250
1.00420,33.4141
1.00941,33.2188
1.01461,32.7344
1.01981,32.6250
1.02502,32.1250
1.03022,32.0547
1.03542,31.7109
1.04062,31.7500
1.04583,31.2969
1.05103,31.2031
1.05623,31.0000
1.06144,30.7188
1.06664,30.6562
1.07184,30.3750
1.07705,30.1484
1.08225,29.9141
1.08745,29.8047
1.09266,29.4453
1.09786,29.0234
1.10306,29.0781
1.10827,28.8203
1.11347,28.5625
1.11867,28.2344
1.12388,28.0625
1.12908,27.6562
1.13428,27.3906
1.13948,27.1875
1.14469,26.9766
1.14989,26.5781
1.15509,26.2969
1.16030,25.9766
1.16550,25.7344
1.17070,25.4766
1.17591,25.1328
1.18111,24.7578
1.18631,24.4453
1.19152,24.2109
1.19672,24.0156
1.20192,23.7422
1.20712,23.4844
1.21233,23.2266
1.21753,22.9688
1.22273,22.6641
1.22794,22.4766
1.23314,22.2344
1.23834,22.0000
1.24355,21.8281
1.24875,21.6328
1.25395,21.4609
1.25916,21.2500
1.26436,21.0859
1.26956,20.9219
1.27477,20.6875
1.27997,20.5703
1.28517,20.4062
1.29037,20.3047
1.29558,20.1328
1.30078,19.9531
1.30598,19.8516
1.31119,19.7422
1.31639,19.6719
1.32159,19.5156
1.32680,19.4922
1.33200,19.3516
1.33720,19.3438
1.34241,19.3203
1.34761,19.3359
1.35281,19.2422
1.35802,19.2734
1.36322,19.2422
1.36842,19.2109
1.37363,19.2891
1.37883,19.2656
1.38403,19.2500
1.38923,19.3516
1.39444,19.3906
1.39964,19.3906
1.40484,19.4062
1.41005,19.4766
1.41525,19.5234
1.42045,19.5469
1.42566,19.6641
1.43086,19.7031
1.43606,19.8281
1.44127,19.8672
1.44647,19.9141
1.45167,20.0391
1.45687,20.2812
1.46208,20.4141
1.46728,20.5391
1.47248,20.7578
1.47769,20.9062
1.48289,21.1562
1.48809,21.3047
1.49330,21.5312
1.49850,21.7891
1.50370,22.0312
1.50891,22.3828
1.51411,22.5703
1.51931,22.8984
1.52452,23.1016
1.52972,23.4062
1.53492,23.7031
1.54013,24.0625
1.54533,24.3906
1.55053,24.5781
1.55573,24.9609
1.56094,25.2969
1.56614,25.5625
1.57134,25.7969
1.57655,26.1953
1.58175,26.4453
1.58695,26.7656
1.59216,27.1094
1.59736,27.4766
1.60256,27.8359
1.60777,28.1328
1.61297,28.6094
1.61817,28.7734
1.62338,29.3047
1.62858,29.4375
1.63378,29.8359
1.63898,30.1250
1.64419,30.4688
1.64939,30.7734
1.65459,31.3047
1.65980,31.7109
1.66500,32.0938
1.67020,32.4688
1.67541,33.0312
1.68061,33.2578
1.68581,33.7891
1.69102,34.3125
1.69622,34.7969
1.70142,35.2031
1.70662,35.6875
1.71183,36.0234
1.71703,36.6953
1.72223,37.2969
1.72744,37.9375
1.73264,38.8047
1.73784,39.2578
1.74305,39.8047
1.74825,40.6562
1.75345,41.0703
1.75866,41.9062
1.76386,42.3203
1.76906,43.4609
1.77427,44.0312
1.77947,44.8672
1.78467,45.5859
1.78988,46.3594
1.79508,46.8672
1.80028,47.7734
1.80548,47.6953
1.81069,48.9922
1.81589,49.6094
1.82109,50.6641
1.82630,50.9453
1.83150,51.2656
1.83670,51.7578
1.84191,51.9844
1.84711,52.4688
1.85231,52.9062
1.85752,53.1406
1.86272,53.7031
1.86792,53.6406
1.87312,54.1797
1.87833,54.5781
1.88353,55.4688
1.88873,54.9453
1.89394,55.6328
1.89914,55.8203
1.90434,55.7031
1.90955,55.9141
1.91475,56.3906
1.91995,56.6484
1.92516,56.5469
1.93036,56.8750
1.93556,57.4141
1.94077,57.6797
1.94597,57.9141
1.95117,58.4219
1.95638,59.2188
1.96158,59.4766
1.96678,60.0781
1.97198,60.5859
1.97719,60.5781
