Distance_(mm),Gray_Value
0.0000,21.2477
0.0521,21.1376
0.1042,21.1468
0.1562,21.1560
0.2083,21.1927
0.2604,21.2844
0.3125,21.3670
0.3645,21.3119
0.4166,21.3394
0.4687,21.4037
0.5208,21.3303
0.5729,21.2018
0.6249,21.1651
0.6770,21.2110
0.7291,21.2569
0.7812,21.0459
0.8332,21.1284
0.8853,21.0642
0.9374,20.9908
0.9895,20.9358
1.0416,20.9450
1.0936,20.9541
1.1457,21.1651
1.1978,21.1376
1.2499,21.0734
1.3020,21.0917
1.3540,21.0367
1.4061,20.9817
1.4582,20.9633
1.5103,20.8899
1.5623,20.8807
1.6144,20.8257
1.6665,20.7431
1.7186,20.6972
1.7707,20.7890
1.8227,20.8257
1.8748,20.8440
1.9269,20.7615
1.9790,20.8349
2.0310,20.7706
2.0831,20.6972
2.1352,20.6972
2.1873,20.5963
2.2394,20.5963
2.2914,20.5780
2.3435,20.6147
2.3956,20.5963
2.4477,20.5780
2.4997,20.5780
2.5518,20.5505
2.6039,20.6147
2.6560,20.5963
2.7081,20.6514
2.7601,20.4495
2.8122,20.3670
2.8643,20.4128
2.9164,20.3945
2.9685,20.2385
3.0205,20.1743
3.0726,20.1009
3.1247,20.0183
3.1768,20.0367
3.2288,20.0000
3.2809,20.0000
3.3330,20.0642
3.3851,19.9725
3.4372,20.0092
3.4892,20.0459
3.5413,20.0734
3.5934,20.0734
3.6455,20.0000
3.6975,19.9266
3.7496,19.8624
3.8017,19.6881
3.8538,19.5963
3.9059,19.5413
3.9579,19.4679
4.0100,19.4587
4.0621,19.5229
4.1142,19.6239
4.1663,19.6606
4.2183,19.7339
4.2704,19.5963
4.3225,19.5413
4.3746,19.4587
4.4266,19.4587
4.4787,19.4495
4.5308,19.3303
4.5829,19.2477
4.6350,19.1743
4.6870,19.2661
4.7391,19.2294
4.7912,19.1927
4.8433,19.1193
4.8953,18.9541
4.9474,18.9817
4.9995,18.9358
5.0516,18.9633
5.1037,18.9358
5.1557,19.0183
5.2078,18.9725
5.2599,18.9358
5.3120,18.9174
5.3640,18.9174
5.4161,18.8073
5.4682,18.6972
5.5203,18.5321
5.5724,18.5046
5.6244,18.5321
5.6765,18.4679
5.7286,18.4587
5.7807,18.5046
5.8327,18.4587
5.8848,18.4128
5.9369,18.2844
5.9890,18.2385
6.0411,18.2936
6.0931,18.2477
6.1452,18.2477
6.1973,18.2569
6.2494,18.1927
6.3015,18.2202
6.3535,18.1376
6.4056,18.1101
6.4577,18.0826
6.5098,18.0367
6.5618,18.0550
6.6139,18.0000
6.6660,17.9817
6.7181,17.9908
6.7702,18.0459
6.8222,17.9725
6.8743,18.0000
6.9264,18.0000
6.9785,17.9633
7.0305,17.9358
7.0826,17.8899
7.1347,17.8991
7.1868,17.8624
7.2389,17.8899
7.2909,17.8165
7.3430,17.8257
7.3951,17.8257
7.4472,17.7890
7.4992,17.8807
7.5513,17.8991
7.6034,17.9450
7.6555,17.9633
7.7076,17.9450
7.7596,18.0183
7.8117,18.0183
7.8638,18.0642
7.9159,18.0917
7.9680,18.1193
8.0200,18.1927
8.0721,18.1284
8.1242,18.1927
8.1763,18.0642
8.2283,18.1284
8.2804,18.2844
8.3325,18.2110
8.3846,18.2202
8.4367,18.3670
8.4887,18.3486
8.5408,18.3211
8.5929,18.4312
8.6450,18.6330
8.6970,18.5229
8.7491,18.4771
8.8012,18.8716
8.8533,19.0642
